gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
58796,14.36,23.06,995.87,23.27,12.03.25 13-18-08,-0.03
59659,14.36,23.06,995.86,23.27,12.03.25 13-18-11,-0.02
59576,14.35,23.06,995.86,23.27,12.03.25 13-18-14,-0.01
59743,14.32,23.06,995.86,23.27,12.03.25 13-18-17,9.51
60079,14.33,23.06,995.86,23.27,12.03.25 13-18-20,-80.18
60548,14.36,23.06,995.87,23.28,12.03.25 13-18-22,-0.06
60591,14.38,23.06,995.87,23.28,12.03.25 13-18-25,37.75
60420,14.4,23.06,995.87,23.28,12.03.25 13-18-28,-287.49
60292,14.41,23.06,995.87,23.28,12.03.25 13-18-31,-1.71
60420,14.41,23.06,995.87,23.28,12.03.25 13-18-34,-26.81
61156,14.51,23.06,995.87,23.28,12.03.25 13-18-37,-44.5
61244,14.6,23.06,995.87,23.28,12.03.25 13-18-40,7.47
60894,14.66,23.06,995.87,23.28,12.03.25 13-18-43,-6.14
61025,14.62,23.06,995.87,23.28,12.03.25 13-18-46,38.43
61068,14.57,23.06,995.87,23.27,12.03.25 13-18-48,-7.5
61420,14.51,23.06,995.86,23.27,12.03.25 13-18-51,-7.97
61820,14.45,23.06,995.87,23.26,12.03.25 13-18-54,15.36
61820,14.44,23.06,995.86,23.26,12.03.25 13-18-57,0.0
62500,14.44,23.06,995.84,23.26,12.03.25 13-19-00,-0.02
62822,14.4,23.06,995.85,23.26,12.03.25 13-19-03,-0.03
62454,14.39,23.06,995.85,23.26,12.03.25 13-19-06,-0.06
63147,14.36,23.06,995.85,23.26,12.03.25 13-19-09,-0.04
63713,14.31,23.06,995.86,23.26,12.03.25 13-19-12,-0.0
64000,14.3,23.06,995.86,23.26,12.03.25 13-19-15,-0.01
63952,14.27,23.06,995.86,23.26,12.03.25 13-19-17,-0.04
63760,14.26,23.06,995.85,23.26,12.03.25 13-19-20,-0.05
63713,14.24,23.06,995.85,23.26,12.03.25 13-19-23,-0.04
62683,14.24,23.06,995.84,23.27,12.03.25 13-19-26,-0.05
62500,14.25,23.06,995.84,23.27,12.03.25 13-19-29,-0.03
63429,14.24,23.06,995.84,23.27,12.03.25 13-19-32,-0.01
63429,14.22,23.06,995.84,23.27,12.03.25 13-19-35,-0.05
63100,14.22,23.06,995.85,23.27,12.03.25 13-19-38,-0.05
62914,14.22,23.06,995.86,23.27,12.03.25 13-19-44,-0.02
60505,14.24,23.06,995.85,23.26,12.03.25 13-19-47,-0.09
61376,14.24,23.06,995.85,23.26,12.03.25 13-19-50,-0.06
61686,14.22,23.06,995.85,23.26,12.03.25 13-19-52,-0.06
62822,14.21,23.06,995.85,23.26,12.03.25 13-19-55,-0.02
63523,14.18,23.06,995.86,23.27,12.03.25 13-19-58,-0.03
63808,14.15,23.06,995.85,23.27,12.03.25 13-20-01,-0.05
63665,14.14,23.06,995.85,23.27,12.03.25 13-20-04,-0.04
63429,14.15,23.06,995.84,23.28,12.03.25 13-20-07,-0.06
64096,14.15,23.06,995.84,23.28,12.03.25 13-20-10,-0.07
63334,14.16,23.06,995.84,23.28,12.03.25 13-20-13,-0.02
63194,14.16,23.06,995.84,23.28,12.03.25 13-20-16,-0.05
62822,14.19,23.06,995.84,23.28,12.03.25 13-20-19,-0.01
62362,14.21,23.06,995.85,23.28,12.03.25 13-20-22,-0.06
62181,14.29,23.06,995.85,23.28,12.03.25 13-20-24,-0.05
62591,14.33,23.06,995.85,23.28,12.03.25 13-20-27,-0.02
62591,14.31,23.06,995.85,23.28,12.03.25 13-20-30,-0.04
62226,14.3,23.06,995.85,23.28,12.03.25 13-20-36,-0.03
