Batch,Tunge nr,Plassering,Kraft,Filnavn,Vekt [gr],Start time,End time,Tongue Temp (IR),Pipe temp sensor,Pipe temp IR,Frostskade,Avrivningsskade,Dårlig kvalitet,Kommentar,contact_time(s),total_force_app_time(s),num_force_applications,detach_force(g),plot_path
9,2,BASIS,Rykk,12.03.25 18-49-16.csv,240,2025-03-12 18:48:00,2025-03-12 18:49:59,32.0,,-15.0,True,True,False,"Stor avrivning, måtte holde røret som ble løftet",7.441,0.0,0,1717.64,./main/output/plots/12.03.25 18-49-16.png
9,2,APEX,Rykk,12.03.25 19-00-12.csv,240,2025-03-12 18:59:00,2025-03-12 19:00:59,32.0,-14.0,-14.0,True,True,True,Trengte to rykk,10.718985,0.0,0,1624.8,./main/output/plots/12.03.25 19-00-12.png
9,3,APEX,Rykk,12.03.25 18-51-09.csv,189,2025-03-12 18:50:00,2025-03-12 18:51:59,34.0,-8.0,-11.0,True,True,True,På muskel,4.100993,0.0,0,572.08,./main/output/plots/12.03.25 18-51-09.png
9,3,BASIS,Rykk,12.03.25 19-02-08.csv,189,2025-03-12 19:01:00,2025-03-12 19:02:59,34.0,-13.0,-13.0,True,True,False,Bra rykk og fin skade,3.792007,0.0,0,1652.94,./main/output/plots/12.03.25 19-02-08.png
9,4,BASIS,Rykk,12.03.25 18-52-44.csv,189,2025-03-12 18:51:00,2025-03-12 18:52:59,33.0,-10.0,-6.0,True,True,False,Satt godt fast mtp kontakttid,2.888,0.0,0,1724.15,./main/output/plots/12.03.25 18-52-44.png
9,4,APEX,Motor,12.03.25 19-03-35.csv,189,2025-03-12 19:02:00,2025-03-12 19:03:59,32.0,-8.0,-11.0,True,True,False,"middels apex, liten avrivning",9.825205,0.0,0,472.42,./main/output/plots/12.03.25 19-03-35.png
9,5,APEX,Motor,12.03.25 18-55-29.csv,247,2025-03-12 18:54:00,2025-03-12 18:55:59,34.0,,-25.0,True,True,False,"ok apex, liten avrivning, rørte røret ved drag pga god adhesjon",7.718214,0.0,0,1070.89,./main/output/plots/12.03.25 18-55-29.png
9,5,BASIS,Motor,12.03.25 19-05-01.csv,247,2025-03-12 19:04:00,2025-03-12 19:05:59,34.0,,-10.0,True,True,False,Løsnet greit,8.419213,0.0,0,908.03,./main/output/plots/12.03.25 19-05-01.png
9,6,APEX,Rykk,12.03.25 18-57-04.csv,211,2025-03-12 18:56:00,2025-03-12 18:57:59,32.0,-9.0,-23.0,True,False,False,Slapp lett,2.264007,0.0,0,327.83,./main/output/plots/12.03.25 18-57-04.png
9,6,BASIS,Motor,12.03.25 19-06-37.csv,211,2025-03-12 19:05:00,2025-03-12 19:06:59,31.0,-4.0,-7.0,True,True,False,,6.374207,0.0,0,985.67,./main/output/plots/12.03.25 19-06-37.png
10,1,APEX,Motor,25.03.25 12-48-13.csv,193,2025-03-25 12:47:00,2025-03-25 12:48:59,35.0,-8.0,-28.0,True,False,False,Overgang løs hinne,5.332206,0.0,0,713.1,./main/output/plots/25.03.25 12-48-13.png
10,1,BASIS,Rykk,25.03.25 13-02-10.csv,193,2025-03-25 13:02:00,2025-03-25 13:03:59,36.0,-25.0,-19.0,True,True,False,Liten avrivning,3.312015,0.0,0,491.85,./main/output/plots/25.03.25 13-02-10.png
10,2,BASIS,Motor,25.03.25 12-50-21.csv,204,2025-03-25 12:49:00,2025-03-25 12:50:59,37.0,-25.0,-16.0,True,True,False,,8.686198,0.0,0,394.43,./main/output/plots/25.03.25 12-50-21.png
